division,origine_category,Weight
barre,morges,11
barre,moudon,11
barre,nyon,1
barre,orbe,4
barre,oron,6
barre,pays_d_enhaut,2
barre,suisse_allemande,20
barre,vaud,1
barre,vevey,9
barre,yverdon,9
la_sallaz,aigle,1
la_sallaz,cossonay,1
la_sallaz,france,1
la_sallaz,fribourg,1
la_sallaz,la_vallee,2
la_sallaz,lausanne,47
la_sallaz,lavaux,3
la_sallaz,moudon,4
la_sallaz,nyon,1
la_sallaz,orbe,3
la_sallaz,oron,3
la_sallaz,pays_d_enhaut,1
la_sallaz,rolle,1
la_sallaz,suisse_allemande,8
la_sallaz,vaud,1
la_sallaz,vevey,1
la_sallaz,yverdon,2
grange_neuve,echallens,1
grange_neuve,fribourg,3
grange_neuve,la_vallee,14
grange_neuve,lausanne,7
grange_neuve,oron,1
grange_neuve,pays_d_enhaut,1
grange_neuve,vaud,3
cheneau_de_bourg,aigle,2
cheneau_de_bourg,aubonne,6
cheneau_de_bourg,cossonay,9
cheneau_de_bourg,echallens,9
cheneau_de_bourg,france,3
cheneau_de_bourg,fribourg,2
cheneau_de_bourg,grandson,1
cheneau_de_bourg,la_vallee,5
cheneau_de_bourg,lausanne,44
cheneau_de_bourg,lavaux,10
cheneau_de_bourg,morges,11
cheneau_de_bourg,moudon,3
cheneau_de_bourg,neuchatel,2
cheneau_de_bourg,nyon,4
cheneau_de_bourg,orbe,2
cheneau_de_bourg,oron,5
cheneau_de_bourg,pays_d_enhaut,4
cheneau_de_bourg,rolle,4
cheneau_de_bourg,suisse_allemande,8
cheneau_de_bourg,vaud,3
cheneau_de_bourg,vevey,3
cheneau_de_bourg,yverdon,10
marterey,aigle,3
marterey,angleterre,12
marterey,aubonne,10
marterey,avenches,1
marterey,cossonay,17
marterey,echallens,12
marterey,france,21
marterey,fribourg,2
marterey,geneve,3
marterey,italie,3
marterey,la_vallee,6
marterey,lausanne,134
marterey,lavaux,53
marterey,morges,16
marterey,moudon,12
marterey,neuchatel,1
marterey,nyon,10
marterey,orbe,4
marterey,oron,12
marterey,payerne,4
marterey,pays_d_enhaut,11
marterey,rolle,8
marterey,suisse_allemande,36
marterey,vaud,5
marterey,vevey,15
marterey,yverdon,11
palud,aigle,2
palud,aubonne,5
palud,cossonay,8
palud,echallens,5
palud,france,11
palud,fribourg,2
palud,geneve,3
palud,la_vallee,5
palud,lausanne,52
palud,lavaux,16
palud,morges,11
palud,moudon,10
palud,neuchatel,2
palud,nyon,7
palud,orbe,4
palud,oron,2
palud,pays_d_enhaut,3
palud,rolle,3
palud,suisse_allemande,2
palud,vaud,2
palud,vevey,4
palud,yverdon,1
cite_dessous,aigle,3
cite_dessous,aubonne,1
cite_dessous,cossonay,6
cite_dessous,echallens,7
cite_dessous,france,15
cite_dessous,fribourg,3
cite_dessous,geneve,1
cite_dessous,grandson,2
cite_dessous,la_vallee,6
cite_dessous,lausanne,52
cite_dessous,lavaux,10
cite_dessous,morges,4
cite_dessous,moudon,4
cite_dessous,neuchatel,1
cite_dessous,nyon,5
cite_dessous,orbe,2
cite_dessous,oron,4
cite_dessous,pays_d_enhaut,7
cite_dessous,rolle,1
cite_dessous,suisse_allemande,2
cite_dessous,vaud,4
cite_dessous,vevey,8
cite_dessous,yverdon,3
ouchy,aigle,5
ouchy,angleterre,14
ouchy,aubonne,1
ouchy,cossonay,10
ouchy,echallens,1
ouchy,france,14
ouchy,geneve,6
ouchy,la_vallee,9
ouchy,lausanne,149
ouchy,lavaux,36
ouchy,morges,8
ouchy,moudon,7
ouchy,neuchatel,1
ouchy,nyon,5
ouchy,orbe,5
ouchy,oron,9
ouchy,payerne,1
ouchy,pays_d_enhaut,2
ouchy,rolle,4
ouchy,suisse_allemande,4
ouchy,vevey,7
ouchy,yverdon,3
rue_du_pont,aigle,8
rue_du_pont,aubonne,4
rue_du_pont,avenches,2
rue_du_pont,cossonay,9
rue_du_pont,echallens,7
rue_du_pont,france,2
rue_du_pont,fribourg,6
rue_du_pont,grandson,2
rue_du_pont,la_vallee,7
rue_du_pont,lausanne,91
rue_du_pont,lavaux,23
rue_du_pont,morges,20
rue_du_pont,moudon,8
rue_du_pont,neuchatel,2
rue_du_pont,nyon,9
rue_du_pont,orbe,2
rue_du_pont,oron,2
rue_du_pont,payerne,1
rue_du_pont,pays_d_enhaut,9
rue_du_pont,rolle,3
rue_du_pont,suisse_allemande,19
rue_du_pont,vevey,9
rue_du_pont,yverdon,11
ale,aigle,1
ale,angleterre,4
ale,aubonne,2
ale,cossonay,12
ale,echallens,6
ale,france,2
ale,fribourg,2
ale,geneve,3
ale,grandson,1
ale,la_vallee,2
ale,lausanne,77
ale,lavaux,11
ale,morges,13
ale,moudon,13
ale,neuchatel,1
ale,nyon,4
ale,orbe,8
ale,oron,12
ale,payerne,1
ale,pays_d_enhaut,6
ale,rolle,1
ale,suisse_allemande,4
ale,vaud,6
ale,vevey,9
ale,yverdon,5
st_laurent,aigle,1
st_laurent,angleterre,1
st_laurent,aubonne,2
st_laurent,cossonay,8
st_laurent,echallens,4
st_laurent,france,8
st_laurent,fribourg,1
st_laurent,geneve,1
st_laurent,grandson,1
st_laurent,la_vallee,2
st_laurent,lausanne,74
st_laurent,lavaux,23
st_laurent,morges,11
st_laurent,moudon,6
st_laurent,neuchatel,3
st_laurent,nyon,2
st_laurent,orbe,9
st_laurent,oron,15
st_laurent,payerne,1
st_laurent,pays_d_enhaut,7
st_laurent,rolle,3
st_laurent,suisse_allemande,14
st_laurent,vaud,4
st_laurent,vevey,4
st_laurent,yverdon,7
